T1_Depth,T2_Depth,T3_Depth,T1_Height_U,T2_Height_U,T3_Height_U,T1_Setback_FU,T2_Setback_FU,T3_Setback_FU,T1_Roof_Height,T2_Roof_Height,T3_Roof_Height,SolarRadiation
60,70,60,48,36,12,5,5,10,12,12,9,742.065784
70,70,50,12,36,24,5,5,5,9,9,9,748.180078
60,60,50,24,48,36,5,10,5,9,12,12,661.059514
70,60,60,48,48,12,5,10,5,12,12,12,663.187882
60,70,60,48,48,12,5,5,5,9,9,12,750.752438
70,70,60,36,12,24,10,5,10,9,12,9,668.557313
60,70,60,24,36,36,10,5,10,12,9,9,745.806546
70,70,50,48,24,12,5,10,5,12,9,9,571.689618
60,70,60,12,48,12,10,5,10,9,12,9,746.038952
70,70,60,12,12,24,10,10,10,12,9,12,558.632228
60,70,60,12,48,36,5,5,5,9,9,9,748.819049
70,70,50,12,36,12,10,10,5,9,9,9,573.6437
60,70,50,24,36,12,5,5,10,9,12,9,743.116453
70,70,50,36,36,24,10,10,10,12,9,12,571.512213
60,60,50,12,48,36,10,10,5,9,12,9,661.985278
70,60,50,12,12,12,5,5,5,9,9,9,731.385669
60,70,50,36,12,12,10,10,10,9,12,12,552.026623
70,70,50,24,36,24,10,10,5,12,9,9,571.84381
60,70,60,24,12,36,10,10,5,12,9,12,555.918871
70,70,50,12,12,12,5,10,10,9,12,9,553.457503
60,70,50,24,36,12,10,10,10,9,9,12,573.157539
70,60,60,12,12,24,5,5,5,9,12,12,724.988535
60,60,50,36,12,36,10,5,5,12,12,12,720.536415
70,70,50,24,36,12,10,5,5,12,12,12,742.5859
60,60,50,24,12,12,10,10,10,12,12,9,635.379167
70,60,60,24,12,24,5,5,5,9,9,12,727.329736
60,60,60,24,36,36,5,5,5,12,9,12,803.719233
70,60,50,24,48,12,5,5,5,12,12,12,807.110409
60,60,50,36,36,12,5,10,10,12,12,12,655.55411
70,60,60,12,24,24,5,5,10,12,9,12,786.099029
60,60,50,36,12,36,10,10,5,9,9,9,635.417372
70,60,60,24,36,12,10,10,10,12,9,9,660.732482
60,70,60,48,12,12,10,10,10,12,12,9,551.720008
70,70,50,48,12,24,10,5,5,9,9,9,674.485178
60,70,60,48,48,36,5,5,5,9,12,12,740.371778
70,70,50,48,36,12,5,5,5,12,12,12,741.489152
60,60,50,36,48,12,10,5,10,9,12,9,807.396116
70,70,50,12,48,24,5,10,5,9,12,12,574.421104
60,60,50,36,36,36,5,5,5,12,9,12,803.169979
70,60,50,24,48,12,5,10,10,12,12,9,664.357342
60,70,60,48,24,12,5,10,10,12,12,12,564.28362
70,60,60,36,24,24,10,5,5,12,9,9,785.555675
60,70,60,12,48,36,5,5,5,9,12,12,741.742934
70,60,60,12,48,12,10,5,5,9,9,9,810.545009
60,70,50,24,24,12,5,10,10,9,12,9,565.593816
70,60,60,48,48,24,5,5,5,9,9,9,807.183352
60,70,50,12,36,36,5,5,5,9,9,12,745.362127
70,70,50,12,24,12,5,10,5,12,12,9,565.73163
60,70,60,48,12,12,5,5,10,12,12,12,670.296156
70,70,60,12,36,24,10,5,5,9,12,12,741.506614
60,60,50,12,36,36,10,10,10,12,9,9,657.619287
70,60,60,24,24,12,5,10,5,9,9,12,654.090682
60,70,50,48,12,12,10,5,5,12,12,12,670.175902
70,70,50,36,36,24,5,5,10,12,12,9,740.936777
60,70,60,24,24,36,10,5,5,12,12,9,723.660898
70,70,60,48,36,12,5,5,5,12,9,9,748.620437
60,70,50,36,36,12,10,5,5,9,9,9,749.294602
70,70,50,24,24,24,5,10,10,12,12,12,562.966302
60,60,50,36,12,36,10,10,5,9,9,9,635.417372
70,70,60,12,24,12,5,10,5,12,9,12,572.833012
60,60,60,48,12,12,10,5,5,9,12,12,726.139797
70,70,50,24,24,24,5,10,5,12,12,9,563.523632
60,60,60,48,12,36,10,5,5,9,9,12,723.265352
70,60,60,24,36,12,5,5,10,9,9,9,808.520879
60,70,60,48,12,12,10,5,10,12,9,9,677.785021
70,60,50,36,36,24,10,10,5,9,9,12,658.726683
60,60,50,36,36,36,5,10,5,9,9,12,656.540752
70,60,60,36,48,12,10,10,5,9,9,12,669.051622
60,60,50,48,12,12,5,5,10,9,9,12,728.841682
70,60,50,36,12,24,10,5,10,12,12,12,723.694845
60,60,60,24,36,36,10,5,5,12,9,9,803.932979
70,60,60,24,48,12,10,10,5,9,9,12,669.281279
60,60,50,12,48,12,10,5,5,9,12,9,807.993402
70,70,60,24,24,24,10,5,10,12,12,12,726.064798
60,70,50,24,36,36,10,10,10,9,9,12,570.011382
70,60,60,48,24,12,5,10,5,9,12,9,648.209381
60,70,50,36,48,12,5,5,10,9,12,12,744.791908
70,60,50,36,12,24,5,10,5,12,12,12,631.437468
60,60,50,24,36,36,5,5,5,12,9,9,803.906335
70,70,50,36,36,12,10,10,10,9,9,9,573.195468
60,70,60,24,24,12,10,5,5,9,9,9,735.499323
70,60,50,24,12,24,10,10,10,12,9,9,638.443986
60,60,60,36,48,36,5,10,10,9,12,12,661.133212
70,60,60,12,36,12,10,5,5,12,12,12,805.886364
60,60,50,24,12,12,5,10,10,12,12,12,635.02286
70,60,60,24,24,24,10,10,10,9,9,9,653.077158
60,70,60,24,24,36,5,10,5,12,9,12,568.728708
70,60,60,24,12,12,5,10,5,9,9,9,641.076513
60,60,60,36,12,12,10,10,5,12,9,9,640.229189
70,70,50,12,48,24,10,10,5,12,12,12,574.351972
60,60,50,24,48,36,5,5,10,9,9,12,806.213332
70,60,60,12,12,12,10,10,5,12,9,12,641.191213
60,60,50,36,36,12,10,5,5,12,9,12,807.456133
70,70,50,36,24,24,5,10,10,12,12,12,562.465597
60,60,60,36,24,36,10,10,10,12,9,12,649.934953
70,70,60,36,12,12,5,5,5,12,9,12,677.883448
60,70,60,12,24,12,10,5,5,9,9,9,735.941003
70,70,50,48,12,24,5,10,5,9,9,12,556.440819
60,70,60,12,24,36,5,5,5,9,12,9,724.187371
70,60,50,24,12,12,5,10,10,12,9,9,641.018201
60,60,60,36,12,12,5,10,10,12,9,12,640.028159
70,60,60,12,24,24,5,5,5,12,12,9,783.705799
60,60,60,48,36,36,10,5,5,9,12,12,800.400156
70,70,60,24,24,12,10,10,5,12,12,12,565.244276
60,70,50,48,36,12,10,5,5,12,12,12,741.617455
70,60,50,48,48,24,5,10,5,9,12,12,661.966832
60,60,50,48,36,36,5,5,5,9,12,12,800.219344
70,60,50,12,12,12,10,10,5,9,12,9,635.878785
60,60,60,36,24,12,10,10,10,12,12,12,648.602773
70,70,60,36,36,24,5,10,10,9,9,12,571.748044
60,70,50,12,48,36,5,5,5,9,12,9,741.954883
70,70,60,36,48,12,10,5,10,12,12,12,744.991203
60,60,60,36,36,12,5,5,5,9,9,9,807.959985
70,60,50,36,48,24,5,5,5,9,9,9,807.824544
60,60,50,36,24,36,10,10,10,12,9,9,649.990105
70,70,60,48,48,12,10,5,10,12,12,9,744.683282
60,70,60,24,24,12,10,5,5,12,9,12,735.016834
70,60,60,12,48,24,10,5,5,9,12,9,806.185754
60,70,50,12,12,36,5,10,5,9,12,9,548.541516
70,70,60,12,24,12,10,5,5,9,12,12,728.900161
60,70,50,36,48,12,5,5,10,12,9,12,751.309196
70,70,60,36,48,24,10,10,10,12,12,12,574.174016
60,60,60,48,24,36,5,5,10,12,9,12,782.404844
70,70,60,12,24,12,10,10,10,12,12,12,565.654494
60,70,50,12,48,12,10,10,5,12,9,12,582.820392
70,70,50,24,48,24,5,10,5,9,12,12,574.176018
60,70,50,48,12,36,10,10,10,9,9,9,555.130381
70,70,50,24,12,12,5,5,10,12,12,12,671.599505
60,60,50,12,12,12,5,5,10,9,9,12,731.034939
70,70,60,48,12,24,5,5,5,12,9,9,674.263953
60,60,50,12,12,36,5,5,5,12,12,9,722.358231
70,60,50,24,12,12,10,10,10,12,9,12,640.716995
60,60,60,36,12,12,10,10,5,12,12,9,634.616233
70,60,60,24,36,24,10,5,5,12,12,12,803.999679
60,70,60,48,36,36,10,10,5,12,12,12,561.655504
70,60,60,12,12,12,10,10,10,9,12,12,635.792779
60,70,60,24,24,12,10,10,5,9,9,12,572.634371
70,70,50,36,12,24,10,10,10,9,12,12,549.303683
60,70,60,36,36,36,5,5,5,12,9,9,744.74125
70,60,60,12,24,12,10,5,10,12,12,9,786.111641
60,70,50,36,24,12,5,10,5,9,12,9,564.95113
70,70,50,48,48,24,10,10,5,9,9,12,580.681867
60,60,60,48,24,36,5,10,5,9,12,9,644.233913
70,70,60,48,36,12,5,10,5,12,12,9,565.181014
60,70,60,24,24,12,10,5,5,12,12,12,728.306022
70,60,60,48,48,24,5,5,5,12,12,12,804.578087
60,60,60,48,48,36,5,5,10,12,9,9,806.132078
70,60,50,24,36,12,10,5,10,12,12,12,805.595361
60,70,60,36,24,12,5,5,5,12,12,9,728.137112
70,60,60,48,24,24,5,5,5,9,9,9,784.851338
60,60,50,48,24,36,5,10,5,9,12,9,644.199497
70,60,50,12,48,12,5,10,10,12,12,12,664.268627
60,70,60,24,24,12,5,10,10,12,9,12,572.639752
70,70,50,48,12,24,5,5,10,12,9,12,674.117451
60,60,60,36,36,36,5,5,10,12,9,12,803.741498
70,70,50,12,48,12,10,5,10,9,12,9,745.993059
60,70,50,12,36,12,10,5,10,12,12,12,742.931278
70,70,60,48,48,24,10,10,10,12,12,9,573.654485
60,70,60,36,48,36,5,10,5,9,12,12,572.367564
70,70,60,36,24,12,5,5,10,9,12,12,727.978468
60,60,50,48,12,12,10,10,5,9,12,9,634.026367
70,60,50,36,36,24,10,5,5,9,9,12,806.040193
60,60,50,48,24,36,5,10,5,12,12,12,643.907466
70,60,60,48,36,12,5,10,10,12,9,9,659.790251
60,60,60,24,24,12,5,10,10,12,12,12,649.060969
70,60,50,48,36,24,5,10,10,9,12,12,653.882951
60,70,60,24,48,36,10,10,5,12,9,9,580.645748
70,60,60,36,12,12,10,10,10,9,9,12,640.240205
60,70,50,48,12,12,10,5,5,9,12,12,670.273213
70,70,60,36,12,24,5,5,5,12,12,12,667.704383
60,60,60,12,12,36,10,10,10,12,12,12,630.984047
70,70,60,48,24,12,10,5,5,12,12,12,727.244679
60,70,60,12,48,12,10,5,10,12,9,12,752.161336
70,70,50,36,36,24,10,5,5,12,12,12,740.630371
60,70,50,48,12,36,10,10,10,12,12,12,546.835018
70,60,60,36,36,12,5,5,10,12,9,12,807.691512
60,60,50,12,36,12,10,10,5,9,9,9,660.820959
70,70,50,36,48,24,5,10,5,9,12,9,573.933146
60,60,60,48,24,36,5,5,10,9,12,12,779.732075
70,70,60,36,24,12,10,5,5,9,12,12,727.933216
60,70,50,36,48,12,10,10,5,9,12,9,575.501998
70,60,60,24,24,24,10,5,5,9,9,12,785.522771
60,60,60,48,48,36,10,10,10,12,12,12,660.562115
70,60,60,36,24,12,5,10,5,12,9,12,653.444931
60,70,50,48,48,12,10,10,5,9,9,9,582.237831
70,70,50,12,12,24,5,5,10,12,9,9,676.672399
60,70,60,12,48,36,5,10,10,12,9,12,580.273091
70,60,50,12,36,12,10,5,5,12,9,12,808.158369
60,70,60,36,12,12,5,10,5,12,12,9,552.135211
70,60,50,48,36,24,10,5,10,12,12,9,803.393178
60,60,50,24,36,36,5,5,5,12,12,12,801.260145
70,60,50,12,48,12,5,5,10,9,12,9,808.081335
60,70,50,48,24,12,5,5,10,9,9,9,734.257962
70,70,60,36,48,24,10,10,5,12,12,12,573.908055
60,60,50,12,24,36,5,10,10,12,12,9,645.756294
70,70,50,24,24,12,5,5,10,9,9,12,735.091187
60,60,60,24,48,12,5,10,10,9,9,9,669.590384
70,60,60,12,24,24,5,10,10,9,9,9,653.341018
60,70,50,48,36,36,5,10,10,9,9,9,569.392239
70,70,50,12,24,12,5,10,10,9,12,9,565.91697
60,70,50,36,48,12,10,10,10,12,9,12,582.439701
70,70,50,36,24,24,10,5,5,12,12,9,725.575307
60,70,60,36,36,36,10,5,5,9,12,9,738.253709
70,60,60,36,12,12,5,5,10,9,9,9,730.123971
60,60,60,48,12,12,5,10,5,12,9,9,639.516289
70,70,50,36,36,24,10,5,5,12,9,12,747.276147
60,70,60,12,36,36,10,10,10,9,12,9,563.194449
70,70,50,36,36,12,5,10,5,9,9,9,573.027198
60,60,50,12,24,12,5,5,5,9,12,9,786.021104
70,60,50,12,48,24,10,10,10,12,12,12,663.000689
60,70,50,24,48,36,5,5,10,12,12,9,742.26329
70,70,60,12,24,12,10,5,10,9,9,9,736.066564
60,70,50,24,48,12,10,5,5,9,9,12,751.595901
70,60,60,48,48,24,5,10,5,9,9,12,667.163887
60,60,50,48,48,36,5,10,10,12,9,12,665.580409
70,60,50,24,24,12,10,10,10,12,9,12,654.0176
60,60,50,12,12,12,5,10,10,9,12,9,635.924735
70,60,50,24,24,24,10,10,10,9,9,12,651.861178
60,60,60,36,12,36,10,5,10,12,12,12,721.438635
70,60,50,36,36,12,10,10,5,9,12,9,655.959604
60,70,60,24,48,12,10,5,10,9,9,12,751.887927
70,70,50,36,36,24,10,10,10,9,12,12,564.275074
60,70,60,24,12,36,10,10,10,9,12,9,548.456212
70,70,60,48,24,12,5,10,10,12,12,9,564.529206
60,70,50,12,48,12,10,5,10,9,12,9,745.958581
70,70,50,36,48,24,10,10,10,12,12,12,573.962869
60,70,50,24,24,36,5,10,10,9,9,9,569.095188
70,70,60,24,36,12,10,5,5,9,9,9,749.773457
60,60,60,12,12,12,10,10,10,9,12,12,635.757075
70,70,60,48,48,24,5,5,10,9,9,9,749.48715
60,60,50,24,24,36,10,10,10,9,9,12,650.397122
70,70,60,24,24,12,5,10,10,9,12,12,565.446809
60,70,50,24,24,12,5,10,5,9,12,9,565.486477
70,70,50,48,24,24,5,5,10,9,12,12,724.62696
60,60,50,12,48,36,10,5,10,12,12,12,804.062075
70,70,60,24,12,12,5,5,5,12,9,12,678.670291
60,70,60,12,12,12,10,10,5,12,12,9,553.325693
70,70,50,36,48,24,10,10,10,12,12,12,573.962869
60,70,50,48,36,36,5,5,10,12,9,9,744.632574
70,60,60,36,24,12,10,10,10,9,9,9,654.008142
60,70,50,48,12,12,10,10,10,12,9,12,559.297427
70,60,50,24,12,24,10,10,5,12,12,12,632.217303
60,70,60,48,12,36,5,10,5,12,9,9,554.747611
70,70,60,12,24,12,10,5,10,9,9,12,735.752065
60,60,60,36,36,12,5,10,10,12,9,9,660.263019
70,70,60,12,36,24,10,5,5,12,12,9,741.432279
60,60,50,24,24,36,10,5,5,9,9,9,783.42273
70,70,60,12,24,12,10,5,5,12,9,12,735.462054
60,70,50,12,12,12,10,5,5,9,12,9,672.641613
70,60,50,48,36,24,10,10,10,9,9,9,658.50594
60,60,60,12,12,36,10,5,5,9,12,12,722.392328
70,70,60,48,48,12,5,10,10,12,9,9,582.217739